,word1,word2,n
0,rethinking,cloud,1
1,cloud,enterprise,1
2,enterprise,computing,1
3,learning,from,1
4,from,last,1
5,last,year,1
6,year,part,1
7,part,ii,1
8,data,mining,1
9,mining,handling,1
10,handling,missing,1
11,missing,values,1
12,values,the,1
13,the,database,1
14,of,brains,1
15,brains,and,1
16,and,cities,1
17,cities,neuroscience,1
18,neuroscience,and,1
19,and,cultures,1
20,cultures,of,1
21,of,decision,1
22,decision,making,1
23,search,engine,2
24,engine,vs,2
25,vs,database,2
26,database,in,2
27,in,bi,2
28,bi,part,2
29,part,1,1
30,part,2,1
