,word1,word2,n
0,dashboards,aren,1
1,aren,t,1
2,t,the,1
3,the,answer,1
4,hadoop,platform,1
5,platform,as,1
6,as,a,1
7,a,service,1
8,service,in,1
9,in,the,4
10,the,cloud,1
11,what,the,1
12,the,is,1
13,is,applied,1
14,applied,big,1
15,big,data,4
16,data,scientists,1
17,scientists,the,1
18,the,world,2
19,world,need,1
20,need,us,1
21,data,science,4
22,science,paradigms,1
23,the,rise,1
24,rise,of,1
25,of,column,1
26,column,based,1
27,based,data,1
28,data,stores,1
29,stores,part,1
30,part,1,3
31,is,your,1
32,your,a,1
33,a,b,1
34,b,testing,1
35,testing,effort,1
36,effort,just,1
37,just,chasing,1
38,chasing,statistical,1
39,statistical,ghosts,1
40,small,thoughts,1
41,thoughts,blogging,1
42,blogging,freedom,1
43,freedom,and,1
44,and,privacy,1
45,data,driven,1
46,driven,games,1
47,games,development,1
48,development,rockstars,1
49,questions,cios,1
50,cios,often,1
51,often,ask,1
52,ask,on,1
53,on,master,1
54,master,data,1
55,data,management,1
56,eric,siegel,1
57,siegel,on,1
58,on,persuadable,1
59,persuadable,customers,1
60,customers,chicks,1
61,will,we,1
62,we,ever,1
63,ever,get,1
64,get,past,1
65,past,classical,1
66,classical,physics,1
67,location,relevance,1
68,relevance,at,1
69,at,airbnb,1
70,weekend,reading,1
71,reading,22,1
72,22,23,1
73,23,june,1
74,june,2013,1
75,welcome,to,2
76,to,the,2
77,the,opex,1
78,opex,blog,1
79,i,see,1
80,see,graphs,1
81,introducing,lipstick,1
82,lipstick,on,1
83,on,a,1
84,a,pache,1
85,pache,pig,1
86,the,insight,1
87,insight,blog,1
88,blog,2,1
89,from,phd,1
90,phd,to,1
91,to,data,1
92,data,scientist,3
93,what,is,3
94,is,analytics,2
95,analytics,part,2
96,1,4,1
97,4,short,1
98,short,answers,1
99,improving,your,1
100,your,transportation,1
101,transportation,analytics,1
102,analytics,with,1
103,with,excel,1
104,excel,add,1
105,add,on,1
106,part,2,1
107,2,a,1
108,a,longer,1
109,longer,definition,1
110,definition,with,1
111,with,3,1
112,3,main,1
113,main,categories,1
114,fellow,spotlight,1
115,spotlight,cinna,1
116,cinna,wu,1
117,is,a,1
118,a,data,1
119,three,definitions,1
120,definitions,of,1
121,of,big,2
122,data,for,1
123,for,the,1
124,the,supply,2
125,supply,chain,2
126,chain,manager,1
127,maps,are,1
128,are,more,1
129,more,than,1
130,than,eye,1
131,eye,candy,1
132,the,sexiest,1
133,sexiest,job,1
134,job,in,1
135,a,saturday,1
136,saturday,on,1
137,on,strava,1
138,strava,mapped,1
139,stepping,into,1
140,into,thin,1
141,thin,air,1
142,analytics,for,3
143,for,small,1
144,small,and,1
145,and,medium,1
146,medium,sized,1
147,sized,firms,1
148,big,datas,1
149,datas,role,1
150,role,in,1
151,in,creating,1
152,creating,customer,1
153,customer,centric,1
