NumOfClaps,NumOfComments,article,articleTags,articleURL,linkOfAuthorProfile,nameOfAuthor,postingTime,readingTime
,,,,https://medium.com/bloomberg-opinion/americans-should-have-more-control-over-their-data-b1a694774e1a,https://medium.com/@Bloomberg_Opinion,Bloomberg Opinion,"Jan 2, 2018",5 min read
,,,,https://medium.com/the-new-york-times/fake-news-wide-reach-but-little-impact-study-suggests-cd46243ad23a,https://medium.com/@newyorktimes,The New York Times,"Jan 4, 2018",5 min read
,,,,https://medium.com/@the_economist/to-understand-digital-advertising-study-its-algorithms-affefd619d37,https://medium.com/@the_economist,The Economist,"Mar 27, 2018",5 min read
,,,,https://medium.com/bloomberg/if-youre-a-facebook-user-you-re-also-a-research-subject-aea4b0593f9,https://medium.com/@bloomberg,Bloomberg,"Jun 14, 2018",9 min read
,,,,https://medium.com/mit-technology-review/storing-data-in-dna-is-a-lot-easier-than-getting-it-back-out-46dba18e169e,https://medium.com/@MITTechReview,MIT Technology Review,"Jan 26, 2018",5 min read
,,,,https://medium.com/@the_economist/what-makes-a-country-good-at-football-b6a4187dbab4,https://medium.com/@the_economist,The Economist,"Jun 14, 2018",12 min read
,,,,https://medium.com/@smashingmag/bringing-together-react-d3-and-their-ecosystem-dde80de29755,https://medium.com/@smashingmag,Smashing Magazine,"Jun 25, 2018",16 min read
,,,,https://medium.com/financial-times/how-machine-learning-creates-new-professions-and-problems-94c77bc3269e,https://medium.com/@Financial_Times,The Financial Times,"Jun 22, 2018",5 min read
,,,,https://medium.com/financial-times/how-we-lost-america-to-greed-and-envy-fcbfed3ef652,https://medium.com/@Financial_Times,The Financial Times,"Jul 17, 2018",5 min read
,,,,https://medium.com/thewashingtonpost/how-computational-analysis-is-teaching-us-to-read-in-new-ways-b14900455763,https://medium.com/@washingtonpost,Washington Post,"Jul 30, 2018",5 min read
,,,,https://medium.com/@the_economist/how-the-internet-has-changed-dating-847f3fc5ca0a,https://medium.com/@the_economist,The Economist,"Aug 21, 2018",12 min read
,,,,https://medium.com/fast-company/political-voting-maps-are-useless-a2f2927de959,https://medium.com/@ctrlzee,Mark Wilson,"Jul 27, 2018",3 min read
,,,,https://medium.com/mit-technology-review/data-mining-reveals-fundamental-pattern-of-human-thinking-7fc1d5e1d8b,https://medium.com/@MITTechReview,MIT Technology Review,"Jul 19, 2018",5 min read
,,,,https://medium.com/knowable-magazine/is-it-time-to-bring-data-to-managing-669a4acda72e,https://medium.com/@knowablemag,Knowable Magazine,"Sep 3, 2018",14 min read
,,,,https://medium.com/bloomberg-opinion/advice-to-researchers-admit-what-you-dont-know-c96e7f2f061d,https://medium.com/@Bloomberg_Opinion,Bloomberg Opinion,"Aug 29, 2018",4 min read
,,,,https://medium.com/mit-technology-review/chinas-use-of-big-data-might-actually-make-it-less-big-brother-ish-1fdbe06c15f4,https://medium.com/@MITTechReview,MIT Technology Review,"Aug 22, 2018",5 min read
,,,,https://medium.com/inc./should-there-be-a-backdoor-to-googles-secret-algorithm-c2920bcacb23,https://medium.com/@incmagazine,inc. magazine,"Sep 19, 2018",4 min read
,,,,https://medium.com/@laphamsquart/happy-all-the-time-464bc1f7f5fa,https://medium.com/@laphamsquart,Lapham's Quarterly,"Aug 16, 2018",13 min read
,,,,https://medium.com/new-york-times-magazine/google-knows-where-youve-been-but-does-it-know-who-you-are-8c1e292fc898,https://medium.com/@nytmag,New York Times Magazine,"Sep 17, 2018",7 min read
,,,,https://medium.com/the-new-york-times/whats-the-right-number-of-taxis-the-answer-isn-t-easy-for-cities-23a851018154,https://medium.com/@newyorktimes,The New York Times,"Aug 14, 2018",6 min read
,,,,https://medium.com/@smashingmag/getting-started-with-machine-learning-8de782b84c18,https://medium.com/@smashingmag,Smashing Magazine,"Sep 28, 2018",12 min read
,,,,https://medium.com/mit-technology-review/we-need-a-cyber-arms-control-treaty-to-keep-hospitals-and-power-grids-safe-from-hackers-83b920bc95f6,https://medium.com/@MITTechReview,MIT Technology Review,"Oct 1, 2018",3 min read
,,,,https://medium.com/mit-technology-review/even-the-best-ai-for-spotting-fake-news-is-still-terrible-5afe0f026d94,https://medium.com/@MITTechReview,MIT Technology Review,"Oct 4, 2018",4 min read
,,,,https://medium.com/mit-technology-review/the-secret-data-collected-by-dockless-bikes-is-helping-cities-map-your-movement-54ec6c2b97dc,https://medium.com/@MITTechReview,MIT Technology Review,"Sep 28, 2018",4 min read
,,,,https://medium.com/inc./how-this-company-used-anthropology-to-understand-its-customers-9b1008f1bec3,https://medium.com/@incmagazine,inc. magazine,"Oct 8, 2018",3 min read
