NumOfClaps,NumOfComments,article,articleTags,articleURL,linkOfAuthorProfile,nameOfAuthor,postingTime,readingTime
12 claps,2,Dashboards Aren’t the Answer,"Big Data,Data Science,Visualization",https://medium.com/@robbieallen/dashboards-aren-t-the-answer-f591d5c5e3dc?source=tag_archive---------1---------------------,https://medium.com/@robbieallen,Robbie Allen,"Jan 7, 2013",4 min read
84 claps,8,Hadoop Platform as a Service in the Cloud,"Big Data,Hadoop,Cloud,Cloud Architecture,Data Science",https://medium.com/netflix-techblog/hadoop-platform-as-a-service-in-the-cloud-c23f35f965e7?source=tag_archive---------0---------------------,https://medium.com/@NetflixTechBlog,Netflix Technology Blog,"Jan 10, 2013",11 min read
5 claps,,What the $*&@#^* is Applied Big Data?,"Big Data,Data Science",https://medium.com/@gregsands/what-the-is-applied-big-data-bd746082305?source=tag_archive---------0---------------------,https://medium.com/@gregsands,Greg Sands,"Feb 26, 2013",3 min read
,,Data Scientists: the world need us,"Analytics,Big Data,Data Science",https://medium.com/a-data-driven-guy/data-scientists-the-world-need-us-f31dec7ef2d8?source=tag_archive---------1---------------------,https://medium.com/@MarcosOrtiz,Marcos Ortiz,"Mar 8, 2013",3 min read
,,Data Science paradigms,"Cloudera,Data,Data Science",https://medium.com/a-data-driven-guy/data-science-paradigms-4183a3e5abb5?source=tag_archive---------2---------------------,https://medium.com/@MarcosOrtiz,Marcos Ortiz,"Mar 7, 2013",2 min read
1 clap,,The Rise of Column-based data stores Part 1,"Big Data,Column Based Databases,Data Science",https://medium.com/a-data-driven-guy/the-rise-of-column-based-data-stores-part-1-cea72e7a8ed5?source=tag_archive---------0---------------------,https://medium.com/@MarcosOrtiz,Marcos Ortiz,"Mar 7, 2013",7 min read
71 claps,,Is your A/B testing effort just chasing statistical ghosts?,"Data Science,Ab Testing,Statistics,Commercial,Homepage",https://booking.ai/is-your-a-b-testing-effort-just-chasing-statistical-ghosts-eb85602bef7e?source=tag_archive---------0---------------------&gi=3d9a2f2c0a0d,https://booking.ai/@matseinarsen,Mats Einarsen,"Apr 18, 2013",3 min read
,,"Small Thoughts | Blogging, Freedom and Privacy","Personal,Big Data,Content Cows,Content Farms,Data Science",https://inadequate.net/small-thoughts-blogging-freedom-and-privacy-117aeb396a0f?source=tag_archive---------2---------------------&gi=4f4ceb619b46,https://inadequate.net/@inadequatenet,William O. Pate II,"Apr 22, 2013",4 min read
1 clap,,Data-Driven Games Development Rockstars,"Data Science,Gaming,Predictive Analytics",https://medium.com/a-data-driven-guy/data-driven-games-development-rockstars-9ca18dc8e75d?source=tag_archive---------1---------------------,https://medium.com/@MarcosOrtiz,Marcos Ortiz,"Apr 12, 2013",4 min read
,,Questions CIOs Often Ask On Master Data Management,"Cloud Computing,Technology,Data,Data Science,Adaitgpi",https://medium.com/@svg.world/questions-cios-often-ask-on-master-data-management-1474d5b76c26?source=tag_archive---------3---------------------,https://medium.com/@svg.world,Sanchit Vir Gogia,"May 21, 2013", 
,1,On Persuadable Customers & Predictive Analytics for Whatever,"Data Science,Predictive Analytics,Persuasion",https://medium.com/@happybandits/eric-siegel-on-persuadable-customers-chicks-8ce81bb9735e?source=tag_archive---------2---------------------,https://medium.com/@happybandits,Arjan Haring,"May 23, 2013",3 min read
5 claps,,Will We Ever Get Past Classical Physics?,"Data Science,Physics,Education",https://medium.com/@ellisonbg/will-we-ever-get-past-classical-physics-ff02c972fd12?source=tag_archive---------1---------------------,https://medium.com/@ellisonbg,Brian E. Granger,"May 22, 2013",4 min read
156 claps,2,Location Relevance at Airbnb,"Data Science,Search",https://medium.com/airbnb-engineering/location-relevance-at-airbnb-12c004247b07?source=tag_archive---------0---------------------,https://medium.com/@airbnbeng,AirbnbEng,"May 1, 2013",7 min read
,,Weekend Reading — 22–23 JUNE 2013,"Personal,Big Data As Big Brother,Coding,Commencement,Data Science",https://inadequate.net/weekend-reading-22-23-june-2013-c426b5424339?source=tag_archive---------5---------------------,https://inadequate.net/@inadequatenet,William O. Pate II,"Jun 22, 2013",4 min read
,,Welcome to the Opex Blog,"Big Data,Data Science,Machine Learning,Optimization,Operations",https://medium.com/opex-analytics/welcome-to-the-opex-blog-d9fd5731cc4?source=tag_archive---------4---------------------,https://medium.com/@OpexAnalytics,Opex Analytics,"Jun 23, 2013", 
,,I See Graphs,"Programming,Data Science",https://medium.com/@vishal_s/i-see-graphs-66a0a55088b1?source=tag_archive---------3---------------------,https://medium.com/@vishal_s,Vishal S.,"Jun 21, 2013",7 min read
11 claps,1,Introducing Lipstick on A(pache) Pig,"Big Data,Data Science,Hadoop,Netflix Oss,Apache Pig",https://medium.com/netflix-techblog/introducing-lipstick-on-a-pache-pig-f17e0a4e0c89?source=tag_archive---------1---------------------,https://medium.com/@NetflixTechBlog,Netflix Technology Blog,"Jun 25, 2013",3 min read
2 claps,,Welcome to the Insight Blog!,"Insight Data Science,Data Science",https://blog.insightdatascience.com/welcome-to-the-insight-blog-2-7581752e9fe1?source=tag_archive---------1---------------------&gi=8b6c13d14224,https://blog.insightdatascience.com/@InsightData,Insight,"Jul 31, 2013", 
4 claps,,From PhD to Data Scientist: ,"Insight Data Science,Data Science",https://blog.insightdatascience.com/from-phd-to-data-scientist-17209c66a9d9?source=tag_archive---------0---------------------&gi=55699b0d3836,https://blog.insightdatascience.com/@InsightData,Insight,"Jul 31, 2013",3 min read
,,What is Analytics? Part I: Four Short Answers,"Analytics,Data Science,Artificial Intelligence",https://medium.com/opex-analytics/what-is-analytics-part-1-4-short-answers-4f6095f919c5?source=tag_archive---------4---------------------,https://medium.com/@OpexAnalytics,Opex Analytics,"Jul 28, 2013",2 min read
,,Improving Your Transportation Analytics with Excel Add-On,"Excel,Transportation,Trucking,Supply Chain,Data Science",https://medium.com/opex-analytics/improving-your-transportation-analytics-with-excel-add-on-e767b032952e?source=tag_archive---------3---------------------,https://medium.com/@OpexAnalytics,Opex Analytics,"Jul 30, 2013", 
,,What is Analytics? Part II: A Longer Definition with Three Main Categories,"Big Data,Analytics,Data Science",https://medium.com/opex-analytics/what-is-analytics-part-2-a-longer-definition-with-3-main-categories-7ebacd10f71a?source=tag_archive---------2---------------------,https://medium.com/@OpexAnalytics,Opex Analytics,"Jul 29, 2013", 
,,Fellow Spotlight: Cinna Wu,"Insight Data Science,Data Science",https://blog.insightdatascience.com/fellow-spotlight-cinna-wu-8783fca56c72?source=tag_archive---------2---------------------&gi=9e73e49b3c5e,https://blog.insightdatascience.com/@InsightData,Insight,"Aug 8, 2013",3 min read
,,What is a Data Scientist?,"Data Science,Analytics,Artificial Intelligence",https://medium.com/opex-analytics/what-is-a-data-scientist-745c6a67e1b6?source=tag_archive---------7---------------------,https://medium.com/@OpexAnalytics,Opex Analytics,"Aug 1, 2013", 
,,Three Definitions of Big Data for the Supply Chain Manager,"Big Data,Supply Chain,Supply Chain Management,Data Science",https://medium.com/opex-analytics/three-definitions-of-big-data-for-the-supply-chain-manager-96500d0649d?source=tag_archive---------5---------------------,https://medium.com/@OpexAnalytics,Opex Analytics,"Jul 31, 2013", 
,,Maps Are More Than Eye Candy,"Data Visualization,Maps,Data Science,Public Health",https://medium.com/opex-analytics/maps-are-more-than-eye-candy-f2c062a8a1dd?source=tag_archive---------4---------------------,https://medium.com/@OpexAnalytics,Opex Analytics,"Aug 11, 2013",2 min read
,,THE SEXIEST JOB IN THE WORLD,"Big Data,Data Science",https://medium.com/smartism/the-sexiest-job-in-the-world-da325a795ce1?source=tag_archive---------3---------------------,https://medium.com/@rob.reng,rob reng,"Aug 13, 2013",3 min read
5 claps,,"A Saturday on Strava, Mapped","Maps,Data Science",https://medium.com/strava-engineering/a-saturday-on-strava-mapped-ab0187dc307f?source=tag_archive---------1---------------------,https://medium.com/@stravaeng,Strava Engineering,"Aug 12, 2013",3 min read
7 claps,,stepping into thin air,"Product Management,Data Science,Startup",https://medium.com/product-man/stepping-into-thin-air-5429f6beec4e?source=tag_archive---------0---------------------,https://medium.com/@drewdil,Drew Dillon,"Aug 5, 2013",3 min read
