article,articleURL
Solving class imbalance on Google open images,https://medium.com/@aveysov/solving-class-imbalance-on-google-open-images-cf9e890bb146?source=tag_archive---------0---------------------
Data Warehouse design on Amazon Redshift,https://medium.com/@key2market/data-warehouse-design-on-amazon-redshift-ce0b359448a?source=tag_archive---------1---------------------
"Data Mining, It Ain’t All That",https://theumlaut.com/data-mining-it-aint-all-that-96c7c81226c2?source=tag_archive---------2---------------------
So you want to be a data scientist?,https://medium.com/@idavchev/so-you-want-to-be-a-data-scientist-6aa1a27991ce?source=tag_archive---------3---------------------
Data Science and Adphorus,https://blog.adphorus.com/data-science-and-adphorus-aeb2cd249136?source=tag_archive---------4---------------------
OHGB: Beating the Wheel of Fortune Bonus Round,https://medium.com/@edweng/ohgb-beating-the-wheel-of-fortune-bonus-round-ef9f47847124?source=tag_archive---------5---------------------
Data Science in Mexico,https://medium.com/pepe-carlos-blog/data-science-in-mexico-2131c92bb762?source=tag_archive---------6---------------------
Heat Maps Track Customers In Store: A Chance to Apply Analytics for a Better Customer Experience,https://medium.com/opex-analytics/heat-maps-track-customers-in-store-a-chance-to-apply-analytics-for-a-better-customer-experience-90b03cae4577?source=tag_archive---------7---------------------
Using Data Science to Better Predict Demand: Case from Twitter and the Flu Season,https://medium.com/opex-analytics/using-data-science-to-better-predict-demand-case-from-twitter-and-the-flu-season-9be037ddd175?source=tag_archive---------8---------------------
Find and Watch TV Shows on YouTube with CouchTube.net,https://blog.insightdatascience.com/find-and-watch-tv-shows-on-youtube-with-couchtube-net-78d7c1a7fa6?source=tag_archive---------0---------------------
So You Want to be a Kaggle Wizard,https://medium.com/@harleykwyn/so-you-want-to-be-a-kaggle-wizard-927484d72540?source=tag_archive---------1---------------------
Data: The Next Frontier,https://medium.com/texas-mccombs/data-the-next-frontier-839388867cdb?source=tag_archive---------2---------------------
Lack of Analytics Skills May Be Holding Up Your Supply Chain,https://medium.com/opex-analytics/lack-of-analytics-skills-may-be-holding-up-your-supply-chain-f83749f29a26?source=tag_archive---------3---------------------
