"word1","word2","2009-2011","2012","2013","2014","2015","2016","2017","2018","2019"
"search","engine",5.40540540540541,NA,NA,NA,NA,NA,NA,NA,NA
"engine","vs",5.40540540540541,NA,NA,NA,NA,NA,NA,NA,NA
"vs","database",5.40540540540541,NA,NA,NA,NA,NA,NA,NA,NA
"database","in",5.40540540540541,NA,NA,NA,NA,NA,NA,NA,NA
"in","bi",5.40540540540541,NA,NA,NA,NA,NA,NA,NA,NA
"bi","part",5.40540540540541,NA,NA,NA,NA,NA,NA,NA,NA
"rethinking","cloud",2.7027027027027,NA,NA,NA,NA,NA,NA,NA,NA
"cloud","enterprise",2.7027027027027,NA,NA,NA,NA,NA,NA,NA,NA
"enterprise","computing",2.7027027027027,NA,NA,NA,NA,NA,NA,NA,NA
"learning","from",2.7027027027027,NA,NA,NA,NA,NA,NA,NA,NA
"from","last",2.7027027027027,NA,NA,NA,NA,NA,NA,NA,NA
"last","year",2.7027027027027,NA,NA,NA,NA,NA,NA,NA,NA
"year","part",2.7027027027027,NA,NA,NA,NA,NA,NA,NA,NA
"part","ii",2.7027027027027,NA,NA,NA,NA,NA,NA,NA,NA
"data","mining",2.7027027027027,NA,NA,0.148367952522255,0.103749814732474,NA,0.0696641606919973,NA,NA
"mining","handling",2.7027027027027,NA,NA,NA,NA,NA,NA,NA,NA
"handling","missing",2.7027027027027,NA,NA,NA,NA,NA,NA,NA,NA
"missing","values",2.7027027027027,NA,NA,NA,NA,NA,NA,NA,NA
"values","the",2.7027027027027,NA,NA,NA,NA,NA,NA,NA,NA
"the","database",2.7027027027027,NA,NA,NA,NA,NA,NA,NA,NA
"of","brains",2.7027027027027,NA,NA,NA,NA,NA,NA,NA,NA
"brains","and",2.7027027027027,NA,NA,NA,NA,NA,NA,NA,NA
"and","cities",2.7027027027027,NA,NA,NA,NA,NA,NA,NA,NA
"cities","neuroscience",2.7027027027027,NA,NA,NA,NA,NA,NA,NA,NA
"neuroscience","and",2.7027027027027,NA,NA,NA,NA,NA,NA,NA,NA
"and","cultures",2.7027027027027,NA,NA,NA,NA,NA,NA,NA,NA
"cultures","of",2.7027027027027,NA,NA,NA,NA,NA,NA,NA,NA
"of","decision",2.7027027027027,1.17647058823529,NA,NA,NA,NA,NA,NA,NA
"decision","making",2.7027027027027,1.17647058823529,NA,NA,NA,NA,NA,NA,NA
"part","1",2.7027027027027,NA,0.867052023121387,NA,NA,0.130386388933058,0.184319758497576,0.276014142873437,0.216545102119501
"part","2",2.7027027027027,1.17647058823529,NA,NA,NA,0.117665765622515,0.152390351513744,0.175645363646732,0.160560270839825
"of","the",NA,2.35294117647059,NA,NA,0.222321031569586,0.206710128796311,0.224957185567908,0.189332015359465,0.165313699910741
"big","data",NA,2.35294117647059,1.15606936416185,1.63204747774481,1.21535497258041,0.782318333598346,0.391860903892485,0.232673079116451,0.174292399266916
"weakest","link",NA,1.17647058823529,NA,NA,NA,NA,NA,NA,NA
"statistics","for",NA,1.17647058823529,NA,NA,NA,NA,NA,NA,NA
"for","fun",NA,1.17647058823529,NA,NA,NA,NA,NA,NA,NA
"fun","and",NA,1.17647058823529,NA,NA,NA,NA,NA,NA,NA
"and","profit",NA,1.17647058823529,NA,NA,NA,NA,NA,NA,NA
"profit","and",NA,1.17647058823529,NA,NA,NA,NA,NA,NA,NA
"and","analyzing",NA,1.17647058823529,NA,NA,NA,NA,NA,NA,NA
"analyzing","split",NA,1.17647058823529,NA,NA,NA,NA,NA,NA,NA
"split","tests",NA,1.17647058823529,NA,NA,NA,NA,NA,NA,NA
"dawn","of",NA,1.17647058823529,NA,NA,NA,NA,NA,NA,NA
"the","data",NA,1.17647058823529,NA,0.29673590504451,0.32607084630206,0.251232310383209,0.191576441902993,0.164239820552789,0.135736807913931
"data","age",NA,1.17647058823529,NA,NA,NA,NA,NA,NA,NA
"age","jake",NA,1.17647058823529,NA,NA,NA,NA,NA,NA,NA
"jake","porway",NA,1.17647058823529,NA,NA,NA,NA,NA,NA,NA
"porway","datakind",NA,1.17647058823529,NA,NA,NA,NA,NA,NA,NA
"datakind","and",NA,1.17647058823529,NA,NA,NA,NA,NA,NA,NA
"and","the",NA,1.17647058823529,NA,0.148367952522255,0.133392618941752,0.162187947209413,0.117558271167745,0.0897236056723568,0.0765830239203114
"the","future",NA,1.17647058823529,NA,NA,0.0889284126278346,0.117665765622515,0.078372180778497,0.0866821275139718,NA
"future","of",NA,1.17647058823529,NA,NA,0.133392618941752,NA,0.0740181707352472,NA,NA
"please","big",NA,1.17647058823529,NA,NA,NA,NA,NA,NA,NA
"data","people",NA,1.17647058823529,NA,NA,NA,NA,NA,NA,NA
"people","just",NA,1.17647058823529,NA,NA,NA,NA,NA,NA,NA
"just","say",NA,1.17647058823529,NA,NA,NA,NA,NA,NA,NA
"say","what",NA,1.17647058823529,NA,NA,NA,NA,NA,NA,NA
"what","you",NA,1.17647058823529,NA,NA,NA,NA,NA,NA,NA
"you","mean",NA,1.17647058823529,NA,NA,NA,NA,NA,NA,NA
"3","years",NA,1.17647058823529,NA,NA,NA,NA,NA,NA,NA
"years","exhilarated",NA,1.17647058823529,NA,NA,NA,NA,NA,NA,NA
"exhilarated","team",NA,1.17647058823529,NA,NA,NA,NA,NA,NA,NA
"zyynep","tufecki",NA,1.17647058823529,NA,NA,NA,NA,NA,NA,NA
"tufecki","beware",NA,1.17647058823529,NA,NA,NA,NA,NA,NA,NA
"beware","the",NA,1.17647058823529,NA,NA,NA,NA,NA,NA,NA
"the","big",NA,1.17647058823529,NA,NA,NA,NA,NA,NA,NA
"data","campaign",NA,1.17647058823529,NA,NA,NA,NA,NA,NA,NA
"videos","of",NA,1.17647058823529,NA,NA,NA,NA,NA,NA,NA
"the","netflix",NA,1.17647058823529,NA,NA,NA,NA,NA,NA,NA
"netflix","talks",NA,1.17647058823529,NA,NA,NA,NA,NA,NA,NA
"talks","at",NA,1.17647058823529,NA,NA,NA,NA,NA,NA,NA
"at","aws",NA,1.17647058823529,NA,NA,NA,NA,NA,NA,NA
"aws","re",NA,1.17647058823529,NA,NA,NA,NA,NA,NA,NA
"re","invent",NA,1.17647058823529,NA,NA,NA,NA,NA,NA,NA
"1000x","faster",NA,1.17647058823529,NA,NA,NA,NA,NA,NA,NA
"faster","spelling",NA,1.17647058823529,NA,NA,NA,NA,NA,NA,NA
"spelling","correction",NA,1.17647058823529,NA,NA,NA,NA,NA,NA,NA
"correction","algorithm",NA,1.17647058823529,NA,NA,NA,NA,NA,NA,NA
"algorithm","2012",NA,1.17647058823529,NA,NA,NA,NA,NA,NA,NA
"netflix","recommendations",NA,1.17647058823529,NA,NA,NA,NA,NA,NA,NA
"recommendations","beyond",NA,1.17647058823529,NA,NA,NA,NA,NA,NA,NA
"beyond","the",NA,1.17647058823529,NA,NA,NA,NA,NA,NA,NA
"the","5",NA,1.17647058823529,NA,NA,NA,NA,NA,NA,NA
"5","stars",NA,1.17647058823529,NA,NA,NA,NA,NA,NA,NA
"stars","part",NA,1.17647058823529,NA,NA,NA,NA,NA,NA,NA
"principal","components",NA,1.17647058823529,NA,NA,NA,NA,NA,NA,NA
"components","analysis",NA,1.17647058823529,NA,NA,NA,NA,NA,NA,NA
"analysis","in",NA,1.17647058823529,NA,NA,NA,NA,NA,NA,NA
"in","the",NA,NA,1.15606936416185,NA,0.385356454720617,0.270313245349022,0.203187135351659,0.183249059042695,0.21865773726213
"data","science",NA,NA,1.15606936416185,1.63204747774481,1.77856825255669,1.53601526474797,1.62839975617544,1.80511728700148,1.93781458457671
"data","scientist",NA,NA,0.867052023121387,0.445103857566766,0.622498888394842,0.34345682938464,0.293170009578822,0.361175531308216,0.362845085746579
"what","is",NA,NA,0.867052023121387,NA,0.118571216837113,0.127206233105422,0.169806391686743,0.165000190092385,0.182214781051775
"analytics","for",NA,NA,0.867052023121387,NA,NA,NA,NA,NA,NA
"how","to",NA,NA,0.867052023121387,NA,0.429820661034534,0.416600413420258,0.51812719514673,0.61742006615215,0.607910762291575
"the","world",NA,NA,0.578034682080925,NA,NA,NA,NA,NA,NA
"welcome","to",NA,NA,0.578034682080925,NA,NA,NA,NA,NA,NA
"to","the",NA,NA,0.578034682080925,NA,0.148214021046391,0.101764986484338,0.0754695074163304,0.0737558453408357,0.0771111827059687
"is","analytics",NA,NA,0.578034682080925,NA,NA,NA,NA,NA,NA
"analytics","part",NA,NA,0.578034682080925,NA,NA,NA,NA,NA,NA
"of","big",NA,NA,0.578034682080925,NA,NA,0.0763237398632533,NA,NA,NA
"the","supply",NA,NA,0.578034682080925,0.29673590504451,NA,NA,NA,NA,NA
"supply","chain",NA,NA,0.578034682080925,0.593471810089021,NA,NA,NA,NA,NA
"on","the",NA,NA,0.578034682080925,NA,NA,0.108125298139609,0.0711154973730806,0.0897236056723568,0.067604324564137
"sap","hana",NA,NA,0.578034682080925,NA,NA,NA,NA,NA,NA
"graph","analytics",NA,NA,0.578034682080925,NA,NA,NA,NA,NA,NA
"the","era",NA,NA,0.578034682080925,NA,NA,NA,NA,NA,NA
"era","of",NA,NA,0.578034682080925,NA,NA,NA,NA,NA,NA
"s","the",NA,NA,0.578034682080925,NA,NA,NA,NA,NA,NA
"event","data",NA,NA,0.578034682080925,NA,NA,NA,NA,NA,NA
"keen","io",NA,NA,0.578034682080925,NA,NA,NA,NA,NA,NA
"dashboards","aren",NA,NA,0.289017341040462,NA,NA,NA,NA,NA,NA
"aren","t",NA,NA,0.289017341040462,NA,NA,NA,NA,NA,NA
"t","the",NA,NA,0.289017341040462,NA,NA,NA,NA,NA,NA
"the","answer",NA,NA,0.289017341040462,NA,NA,NA,NA,NA,NA
"hadoop","platform",NA,NA,0.289017341040462,NA,NA,NA,NA,NA,NA
"platform","as",NA,NA,0.289017341040462,NA,NA,NA,NA,NA,NA
